Name,    TypeNumber, StartingHealth, WalkingSpeed, WalkingTimer, RunningSpeed, RunningTimer, ScaleMin, Scalemax, WaitingTimer, DistanceThreshold, Aggressive, DamageType, Damage, FireRate
Rabbit,  0,          8,              1,            10,           2,            60,            .8,      1.2,         60,           200,               0,          0,          0,      0,
Goat,    4,          80,             4,            45,           6,           130,            .8,      1.2,         90,           500,               0,          0,          0,      0,
Chicken, 5,          8,              1,            6,            2,            25,            .8,      1.2,         30,           500,               0,          0,          0,      0,
Sheep,   6,          70,             4,            40,           6,            70,            .8,      1.2,         90,           500,               0,          0,          0,      0, 
Fox,     7,          30,             4,            30,           6,           300,            .8,      1.2,         50,           500,               0,          0,          0,      0,
Deer,    8,          140,            5,           900,           7,          1200,            .8,      1.2,        300,           1000,              0,          0,          0,      0, 
Sentry,  2,          300,            5,           500,           7,          1200,             1,        1,        800,           1000,              1,          1,          20,     20,
Cubeot,  9,          210,            5,           500,           4,          1200,             1,        1,        800,           1500,              1,          1,          20,     20,
Wolf,    10,         150,            5,           500,           7,          1200,            .8,      1.2,        300,            300,              1,          2,          15,    120, 
Wavedog, 11,         160,            2,           500,           8,          1300,            .8,      1.2,        300,            300,              1,          2,          23,    120,  
Crow,    12,           8,            1,            11,           1,            20,            .7,      1.2,         60,            200,              0,          0,           0,      0, 
